Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2016-01-17,Australia,Melbourne Cricket Ground,did not bat,,0.0,0,15,0.0,0.0,0.0,28,0,Melbourne,Australia
2015-10-03,Ireland,Seddon Park,did not bat,,0.0,3,14,0.0,0.0,0.0,27,0,Hamilton,New Zealand
2015-03-14,Zimbabwe,Eden Park,did not bat,,0.0,1,15,0.0,0.0,0.0,27,0,Auckland,New Zealand
2015-11-10,South Africa,Green Park,did not bat,,0.0,0,15,0.0,0.0,0.0,27,0,Kanpur,India
2015-10-14,South Africa,Holkar Cricket Stadium,c †Q de Kock b D W Steyn,4.0,133.33,0,15,0.0,0.0,0.0,27,D W Steyn,Indore,India
2016-01-20,Australia,Manuka Oval,c G J Bailey b M R Marsh,2.0,18.18,0,15,0.0,0.0,0.0,28,M R Marsh,Canberra,Australia
2016-10-26,New Zealand,JSCA International Stadium Complex,c L R P L Taylor b T A Boult,7.0,58.33,0,17,0.0,0.0,0.0,29,T A Boult,Ranchi,India
2017-01-15,England,Maharashtra Cricket Association Stadium,did not bat,,0.0,1,18,0.0,0.0,0.0,29,0,Pune,India
2017-09-28,Australia,M Chinnaswamy Stadium,not out,2.0,100.0,0,20,0.0,0.0,0.0,29,0,"Bengaluru, Bangalore",India
2018-07-14,England,Lord's,st J C Buttler b A U Rashid,0.0,0.0,1,22,0.0,0.0,0.0,30,A U Rashid,London,England
2018-10-21,West Indies,Barsapara Cricket Stadium,did not bat,,0.0,0,22,0.0,0.0,0.0,30,0,Guwahati,India
