Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2010-06-22,Sri Lanka,Rangiri Dambulla International Stadium,c †K C Sangakkara b H M R K B Herath,40.0,93.02,0,13,0,0,19,25,H M R K B Herath,Dambulla,Sri Lanka
2010-06-24,Sri Lanka,Rangiri Dambulla International Stadium,c D P M D Jayawardene b S H T Kandamby,66.0,78.57,0,13,0,0,19,25,S H T Kandamby,Dambulla,Sri Lanka
2010-10-08,New Zealand,Rangiri Dambulla International Stadium,lbw b D R Tuffey,14.0,70.0,1,14,0,0,19,25,D R Tuffey,Dambulla,Sri Lanka
2010-08-16,Sri Lanka,Rangiri Dambulla International Stadium,c K M D N Kulasekara b A D Mathews,10.0,28.57,0,14,0,0,19,25,A D Mathews,Dambulla,Sri Lanka
2010-08-21,Sri Lanka,Rangiri Dambulla International Stadium,c †K C Sangakkara b K M D N Kulasekara,9.0,36.0,0,14,0,0,19,25,K M D N Kulasekara,Dambulla,Sri Lanka
2010-08-25,New Zealand,Rangiri Dambulla International Stadium,c †G J Hopkins b K D Mills,0.0,0.0,1,15,0,0,19,25,K D Mills,Dambulla,Sri Lanka
2010-08-28,Sri Lanka,Rangiri Dambulla International Stadium,c †K C Sangakkara b S L Malinga,0.0,0.0,2,17,0,0,19,25,S L Malinga,Dambulla,Sri Lanka
2013-11-06,West Indies,Kennington Oval,not out,51.0,94.44,1,18,0,0,19,28,0,London,England
2013-05-07,West Indies,Queen's Park Oval,c †D Ramdin b T L Best,6.0,85.71,0,19,2,0,21,28,T L Best,0,West Indies
2013-09-07,Sri Lanka,Queen's Park Oval,b H M R K B Herath,12.0,66.67,0,19,2,1,24,28,H M R K B Herath,0,West Indies
2013-11-07,Sri Lanka,Queen's Park Oval,c D P M D Jayawardene b H M R K B Herath,23.0,62.16,0,19,0,0,24,28,H M R K B Herath,0,West Indies
2014-02-26,Bangladesh,Khan Shaheb Osman Ali Stadium,not out,2.0,100.0,0,19,1,1,35,28,0,Fatullah,Bangladesh
2014-02-28,Sri Lanka,Khan Shaheb Osman Ali Stadium,c P C de Silva b B A W Mendis,4.0,133.33,0,19,1,0,36,28,B A W Mendis,Fatullah,Bangladesh
2017-10-25,New Zealand,Maharashtra Cricket Association Stadium,not out,64.0,69.57,0,21,0,0,37,32,0,Pune,India
2017-10-29,New Zealand,Green Park,not out,4.0,133.33,1,22,0,0,37,32,0,Kanpur,India
2017-10-12,Sri Lanka,Himachal Pradesh Cricket Association Stadium,lbw b R A S Lakmal,0.0,0.0,0,22,0,0,37,32,R A S Lakmal,Dharamsala,India
2017-12-13,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,did not bat,,0.0,1,23,0,0,37,32,0,"Mohali, Chandigarh",India
