Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2006-03-04,England,Nehru Stadium (Margao),b A Flintoff,61.0,89.71,1,6,0.0,0.0,0.0,19,A Flintoff,Margao,India
2006-06-04,England,Nehru Stadium (Kochi),c I D Blackwell b J M Anderson,21.0,55.26,0,6,0.0,0.0,0.0,19,J M Anderson,Kochi,India
2013-01-15,England,Nehru Stadium (Kochi),b S T Finn,55.0,70.51,1,64,0.0,0.0,0.0,26,S T Finn,Kochi,India
2013-11-21,West Indies,Nehru Stadium (Kochi),c J O Holder b S P Narine,0.0,0.0,0,86,0.0,0.0,0.0,26,S P Narine,Kochi,India
2014-08-10,West Indies,Nehru Stadium (Kochi),b D J J Bravo,0.0,0.0,0,92,0.0,0.0,0.0,27,D J J Bravo,Kochi,India
2006-12-04,England,Keenan Stadium,c †M J Prior b L E Plunkett,2.0,28.57,0,6,0.0,0.0,0.0,19,L E Plunkett,Jamshedpur,India
2006-04-15,England,Holkar Cricket Stadium,b Kabir Ali,53.0,80.3,1,7,0.0,0.0,0.0,19,Kabir Ali,Indore,India
2008-11-17,England,Holkar Cricket Stadium,c S R Patel b S C J Broad,4.0,44.44,1,23,0.0,0.0,0.0,21,S C J Broad,Indore,India
2011-08-12,West Indies,Holkar Cricket Stadium,run out,55.0,125.0,0,54,0.0,0.0,0.0,25,0,Indore,India
2015-10-14,South Africa,Holkar Cricket Stadium,c †Q de Kock b M Morkel,0.0,0.0,0,105,0.0,0.0,0.0,30,M Morkel,Indore,India
2006-05-18,West Indies,Sabina Park,not out,7.0,116.67,0,8,0.0,0.0,0.0,19,0,"Kingston, Jamaica",West Indies
2006-05-20,West Indies,Sabina Park,c S Chanderpaul b M N Samuels,27.0,49.09,1,9,0.0,0.0,0.0,19,M N Samuels,"Kingston, Jamaica",West Indies
2011-06-16,West Indies,Sabina Park,c A B Barath b K A Pollard,0.0,0.0,0,51,0.0,0.0,0.0,24,K A Pollard,"Kingston, Jamaica",West Indies
2013-06-30,West Indies,Sabina Park,c †D Ramdin b K A J Roach,44.0,80.0,1,71,0.0,0.0,0.0,26,K A J Roach,"Kingston, Jamaica",West Indies
2013-02-07,Sri Lanka,Sabina Park,run out,33.0,100.0,0,71,0.0,0.0,0.0,26,0,"Kingston, Jamaica",West Indies
2006-05-26,West Indies,Queen's Park Oval,c R R Sarwan b I D R Bradshaw,7.0,31.82,1,10,0.0,0.0,0.0,19,I D R Bradshaw,0,West Indies
2006-05-28,West Indies,Queen's Park Oval,c †D Ramdin b J E Taylor,2.0,14.29,0,10,0.0,0.0,0.0,19,J E Taylor,0,West Indies
2011-06-06,West Indies,Queen's Park Oval,c L M P Simmons b A Martin,43.0,86.0,0,50,0.0,0.0,0.0,24,A Martin,0,West Indies
2011-08-06,West Indies,Queen's Park Oval,not out,26.0,136.84,1,51,0.0,0.0,0.0,24,0,0,West Indies
2013-05-07,West Indies,Queen's Park Oval,c D J G Sammy b M N Samuels,10.0,71.43,1,72,0.0,0.0,0.0,26,M N Samuels,0,West Indies
2013-09-07,Sri Lanka,Queen's Park Oval,not out,4.0,57.14,1,73,0.0,0.0,0.0,26,0,0,West Indies
2013-11-07,Sri Lanka,Queen's Park Oval,c †K C Sangakkara b R A S Lakmal,32.0,118.52,0,73,0.0,0.0,0.0,26,R A S Lakmal,0,West Indies
2006-09-14,West Indies,Kinrara Academy Oval,c D R Smith b J E Taylor,34.0,117.24,0,10,0.0,0.0,0.0,19,J E Taylor,Kuala Lumpur,Malaysia
2006-09-16,Australia,Kinrara Academy Oval,not out,1.0,100.0,2,12,0.0,0.0,0.0,19,0,Kuala Lumpur,Malaysia
2006-09-20,West Indies,Kinrara Academy Oval,c C H Gayle b D R Smith,11.0,73.33,0,12,0.0,0.0,0.0,19,D R Smith,Kuala Lumpur,Malaysia
2006-09-22,Australia,Kinrara Academy Oval,b G B Hogg,26.0,72.22,1,13,0.0,0.0,0.0,19,G B Hogg,Kuala Lumpur,Malaysia
2006-10-29,Australia,Punjab Cricket Association IS Bindra Stadium,c S R Watson b N W Bracken,13.0,68.42,1,14,0.0,0.0,0.0,19,N W Bracken,"Mohali, Chandigarh",India
2009-02-11,Australia,Punjab Cricket Association IS Bindra Stadium,b N M Hauritz,17.0,56.67,0,34,0.0,0.0,0.0,22,N M Hauritz,"Mohali, Chandigarh",India
2011-03-30,Pakistan,Punjab Cricket Association IS Bindra Stadium,not out,36.0,92.31,1,49,0.0,0.0,0.0,24,0,"Mohali, Chandigarh",India
2011-10-20,England,Punjab Cricket Association IS Bindra Stadium,c K P Pietersen b T T Bresnan,0.0,0.0,0,52,0.0,0.0,0.0,24,T T Bresnan,"Mohali, Chandigarh",India
2013-01-23,England,Punjab Cricket Association IS Bindra Stadium,not out,89.0,112.66,0,64,0.0,0.0,0.0,26,0,"Mohali, Chandigarh",India
2013-10-19,Australia,Punjab Cricket Association IS Bindra Stadium,c S R Watson b M G Johnson,17.0,89.47,0,85,0.0,0.0,0.0,26,M G Johnson,"Mohali, Chandigarh",India
2006-11-22,South Africa,Kingsmead,c J H Kallis b A Nel,4.0,33.33,0,14,0.0,0.0,0.0,19,A Nel,Durban,South Africa
2011-12-01,South Africa,Kingsmead,c C A Ingram b L L Tsotsobe,32.0,88.89,0,46,0.0,0.0,0.0,24,L L Tsotsobe,Durban,South Africa
2013-08-12,South Africa,Kingsmead,c D A Miller b M Morkel,36.0,72.0,0,88,0.0,0.0,0.0,27,M Morkel,Durban,South Africa
2007-01-27,West Indies,MA Chidambaram Stadium,c B C Lara b J E Taylor,23.0,63.89,1,15,0.0,0.0,0.0,20,J E Taylor,Chennai,India
2011-03-20,West Indies,MA Chidambaram Stadium,c R Rampaul b D J G Sammy,4.0,50.0,0,47,0.0,0.0,0.0,24,D J G Sammy,Chennai,India
2011-11-12,West Indies,MA Chidambaram Stadium,not out,16.0,133.33,0,54,0.0,0.0,0.0,25,0,Chennai,India
2012-12-30,Pakistan,MA Chidambaram Stadium,b Mohammad Hafeez,43.0,48.86,0,63,0.0,0.0,0.0,26,Mohammad Hafeez,Chennai,India
2015-10-22,South Africa,MA Chidambaram Stadium,c A B de Villiers b D W Steyn,53.0,101.92,1,106,0.0,0.0,0.0,30,D W Steyn,Chennai,India
2008-08-24,Sri Lanka,R Premadasa Stadium,run out,53.0,66.25,0,20,0.0,0.0,0.0,21,0,Colombo,Sri Lanka
2008-08-27,Sri Lanka,R Premadasa Stadium,c K M D N Kulasekara b T Thushara,76.0,97.44,2,22,0.0,0.0,0.0,21,T Thushara,Colombo,Sri Lanka
2008-08-29,Sri Lanka,R Premadasa Stadium,c C R D Fernando b K M D N Kulasekara,10.0,76.92,0,22,0.0,0.0,0.0,21,K M D N Kulasekara,Colombo,Sri Lanka
2009-01-31,Sri Lanka,R Premadasa Stadium,c C K Kapugedera b T M Dilshan,29.0,67.44,0,25,0.0,0.0,0.0,22,T M Dilshan,Colombo,Sri Lanka
2009-03-02,Sri Lanka,R Premadasa Stadium,st K C Sangakkara b B A W Mendis,9.0,64.29,0,25,0.0,0.0,0.0,22,B A W Mendis,Colombo,Sri Lanka
2009-05-02,Sri Lanka,R Premadasa Stadium,not out,49.0,132.43,1,26,0.0,0.0,0.0,22,0,Colombo,Sri Lanka
2009-08-02,Sri Lanka,R Premadasa Stadium,c †K C Sangakkara b K M D N Kulasekara,0.0,0.0,2,28,0.0,0.0,0.0,22,K M D N Kulasekara,Colombo,Sri Lanka
2009-11-09,New Zealand,R Premadasa Stadium,not out,45.0,83.33,1,30,0.0,0.0,0.0,22,0,Colombo,Sri Lanka
2009-12-09,Sri Lanka,R Premadasa Stadium,c †K C Sangakkara b A D Mathews,0.0,0.0,0,30,0.0,0.0,0.0,22,A D Mathews,Colombo,Sri Lanka
