Date,Versus,Ground,How Dismissed,Runs,S/R
13/03/2012,Sri Lanka,Shere Bangla National Stadium,did not bat,-,-
16/03/2012,Bangladesh,Shere Bangla National Stadium,run out,4,66.67
18/03/2012,Pakistan,Shere Bangla National Stadium,c Shahid Afridi b Umar Gul,68,81.93
21/07/2012,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,b A D Mathews,5,62.50
24/07/2012,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,b A D Mathews,0,0.00
28/07/2012,Sri Lanka,R Premadasa Stadium,lbw b S L Malinga,0,0.00
31/07/2012,Sri Lanka,R Premadasa Stadium,lbw b N Pradeep,4,28.57
04/08/2012,Sri Lanka,Pallekele International Cricket Stadium,b N Pradeep,4,44.44
30/12/2012,Pakistan,MA Chidambaram Stadium,c Mohammad Hafeez b Junaid Khan,4,28.57
23/01/2013,England,Punjab Cricket Association IS Bindra Stadium,lbw b S T Finn,83,89.25
27/01/2013,England,Himachal Pradesh Cricket Association Stadium,c J C Tredwell b T T Bresnan,4,44.44
06/06/2013,South Africa,Sophia Gardens,c R J Peterson b R McLaren,65,80.25
11/06/2013,West Indies,Kennington Oval,c †J Charles b S P Narine,52,92.86
15/06/2013,Pakistan,Edgbaston,c Misbah-ul-Haq b Saeed Ajmal,18,56.25
20/06/2013,Sri Lanka,Sophia Gardens,b A D Mathews,33,66.00
23/06/2013,England,Edgbaston,b S C J Broad,9,64.29
30/06/2013,West Indies,Sabina Park,c J Charles b D J G Sammy,60,67.42
02/07/2013,Sri Lanka,Sabina Park,c A D Mathews b K M D N Kulasekara,5,38.46
05/07/2013,West Indies,Queen's Park Oval,c †D Ramdin b T L Best,46,58.97
09/07/2013,Sri Lanka,Queen's Park Oval,not out,48*,57.83
11/07/2013,Sri Lanka,Queen's Park Oval,b H M R K B Herath,58,65.17
24/07/2013,Zimbabwe,Harare Sports Club,c †B R M Taylor b E Chigumbura,20,50.00
26/07/2013,Zimbabwe,Harare Sports Club,c V Sibanda b B V Vitori,1,14.29
28/07/2013,Zimbabwe,Harare Sports Club,c †B R M Taylor b M T Chinouya,14,66.67
01/08/2013,Zimbabwe,Queens Sports Club,not out,64*,71.11
13/10/2013,Australia,Maharashtra Cricket Association Stadium,c P J Hughes b S R Watson,42,89.36
16/10/2013,Australia,Sawai Mansingh Stadium,not out,141*,114.63
19/10/2013,Australia,Punjab Cricket Association IS Bindra Stadium,c A J Finch b S R Watson,11,50.00
23/10/2013,Australia,JSCA International Stadium Complex,not out,9*,69.23
30/10/2013,Australia,Vidarbha Cricket Association Stadium,c J P Faulkner b A J Finch,79,88.76
