Date,Versus,Ground,How Dismissed,Runs,S/R
23/01/2016,Australia,Sydney Cricket Ground,c S E Marsh b J W Hastings,78,139.29
15/01/2017,England,Maharashtra Cricket Association Stadium,c M M Ali b D J Willey,1,10.00
19/01/2017,England,Barabati Stadium,b C R Woakes,11,73.33
04/06/2017,Pakistan,Edgbaston,c Azhar Ali b Shadab Khan,68,104.62
08/06/2017,Sri Lanka,Kennington Oval,c B K G Mendis b S L Malinga,125,97.66
11/06/2017,South Africa,Kennington Oval,c F du Plessis b Imran Tahir,78,93.98
15/06/2017,Bangladesh,Edgbaston,c Mosaddeck Hossain b Mashrafe Mortaza,46,135.29
18/06/2017,Pakistan,Kennington Oval,c †Sarfraz Ahmed b Mohammad Amir,21,95.45
23/06/2017,West Indies,Queen's Park Oval,lbw b D Bishoo,87,94.57
25/06/2017,West Indies,Queen's Park Oval,st S D Hope b A R Nurse,63,106.78
30/06/2017,West Indies,Sir Vivian Richards Stadium,c R L Chase b M L Cummins,2,33.33
02/07/2017,West Indies,Sir Vivian Richards Stadium,c J O Holder b A S Joseph,5,71.43
06/07/2017,West Indies,Sabina Park,c E Lewis b A S Joseph,4,133.33
20/08/2017,Sri Lanka,Rangiri Dambulla International Stadium,not out,132*,146.67
24/08/2017,Sri Lanka,Pallekele International Cricket Stadium,c A D Mathews b T A M Siriwardana,49,98.00
27/08/2017,Sri Lanka,Pallekele International Cricket Stadium,b S L Malinga,5,166.67
31/08/2017,Sri Lanka,R Premadasa Stadium,c P M Pushpakumara b M V T Fernando,4,66.67
22/10/2017,New Zealand,Wankhede Stadium,c †T W M Latham b T A Boult,9,75.00
25/10/2017,New Zealand,Maharashtra Cricket Association Stadium,c L R P L Taylor b A F Milne,68,80.95
29/10/2017,New Zealand,Green Park,c K S Williamson b T G Southee,14,70.00
10/12/2017,Sri Lanka,Himachal Pradesh Cricket Association Stadium,lbw b A D Mathews,0,0.00
13/12/2017,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,c H D R L Thirimanne b S S Pathirana,68,101.49
17/12/2017,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,not out,100*,117.65
01/02/2018,South Africa,Kingsmead,run out,35,120.69
04/02/2018,South Africa,SuperSport Park,not out,51*,91.07
07/02/2018,South Africa,Newlands,c A K Markram b J-P Duminy,76,120.63
10/02/2018,South Africa,New Wanderers Stadium,c A B de Villiers b M Morkel,109,103.81
13/02/2018,South Africa,St George's Park,c A L Phehlukwayo b K Rabada,34,147.83
16/02/2018,South Africa,SuperSport Park,c K Zondo b L Ngidi,18,52.94
12/07/2018,England,Trent Bridge,c A U Rashid b M M Ali,40,148.15
14/07/2018,England,Lord's,c B A Stokes b D J Willey,36,120.00
17/07/2018,England,Headingley,run out,44,89.80
18/09/2018,Hong Kong,Dubai International Cricket Stadium,c Tanwir Afzal b K D Shah,127,105.83
19/09/2018,Pakistan,Dubai International Cricket Stadium,c Babar Azam b Faheem Ashraf,46,85.19
21/09/2018,Bangladesh,Dubai International Cricket Stadium,lbw b Shakib Al Hasan,40,85.11
23/09/2018,Pakistan,Dubai International Cricket Stadium,run out,114,114.00
28/09/2018,Bangladesh,Dubai International Cricket Stadium,c Soumya Sarkar b Nazmul Islam,15,107.14
21/10/2018,West Indies,Barsapara Cricket Stadium,b O R Thomas,4,66.67
24/10/2018,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,lbw b A R Nurse,29,96.67
27/10/2018,West Indies,Maharashtra Cricket Association Stadium,lbw b A R Nurse,35,77.78
29/10/2018,West Indies,Brabourne Stadium,c K O A Powell b K M A Paul,38,95.00
01/11/2018,West Indies,Greenfield International Stadium,b O R Thomas,6,120.00
12/01/2019,Australia,Sydney Cricket Ground,lbw b J P Behrendorff,0,0.00
15/01/2019,Australia,Adelaide Oval,c U T Khawaja b J P Behrendorff,32,114.29
18/01/2019,Australia,Melbourne Cricket Ground,c & b M P Stoinis,23,50.00
23/01/2019,New Zealand,McLean Park,not out,75*,72.82
26/01/2019,New Zealand,Bay Oval,c †T W M Latham b T A Boult,66,98.51
28/01/2019,New Zealand,Bay Oval,c L R P L Taylor b T A Boult,28,103.70
31/01/2019,New Zealand,Seddon Park,lbw b T A Boult,13,65.00
03/02/2019,New Zealand,Westpac Stadium,c M J Henry b T A Boult,6,46.15
02/03/2019,Australia,Rajiv Gandhi International Stadium,c G J Maxwell b N M Coulter-Nile,0,0.00
05/03/2019,Australia,Vidarbha Cricket Association Stadium,lbw b G J Maxwell,21,72.41
08/03/2019,Australia,JSCA International Stadium Complex,c G J Maxwell b J A Richardson,1,10.00
10/03/2019,Australia,Punjab Cricket Association IS Bindra Stadium,b P J Cummins,143,124.35
13/03/2019,Australia,Feroz Shah Kotla,c †A T Carey b P J Cummins,12,80.00
