catches,aggregate,catches_wk,stumping_wk,agg_wk,age
1,1, , , ,24 years 54 days
 ,1, , , ,24 years 56 days
2,3, , , ,24 years 58 days
 ,3, , , ,24 years 272 days
 ,3, , , ,24 years 276 days
1,4, , , ,24 years 279 days
1,5, , , ,25 years 123 days
 ,5, , , ,25 years 127 days
 ,5, , , ,25 years 130 days
 ,5, , , ,25 years 134 days
1,6, , , ,26 years 84 days
 ,6, , , ,26 years 86 days
 ,6, , , ,26 years 159 days
1,7, , , ,26 years 325 days
