Date,Versus,Ground,How Dismissed,Runs,S/R
13/12/2017,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-
17/12/2017,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,not out,26*,83.87
17/07/2018,England,Headingley,b A U Rashid,21,95.45
18/09/2018,Hong Kong,Dubai International Cricket Stadium,c Babar Hayat b K D Shah,33,86.84
19/09/2018,Pakistan,Dubai International Cricket Stadium,not out,31*,83.78
21/09/2018,Bangladesh,Dubai International Cricket Stadium,not out,1*,33.33
23/09/2018,Pakistan,Dubai International Cricket Stadium,did not bat,-,-
25/09/2018,Afghanistan,Dubai International Cricket Stadium,lbw b Mohammad Nabi,44,66.67
28/09/2018,Bangladesh,Dubai International Cricket Stadium,lbw b Mahmudullah,37,60.66
12/01/2019,Australia,Sydney Cricket Ground,b J A Richardson,12,57.14
15/01/2019,Australia,Adelaide Oval,not out,25*,178.57
18/01/2019,Australia,Melbourne Cricket Ground,did not bat,-,-
28/01/2019,New Zealand,Bay Oval,not out,38*,100.00
31/01/2019,New Zealand,Seddon Park,c †T W M Latham b C de Grandhomme,0,0.00
