Date,Versus,Ground,How Dismissed,Runs,S/R
21/10/2018,West Indies,Barsapara Cricket Stadium,did not bat,-,-
24/10/2018,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,lbw b M N Samuels,17,130.77
27/10/2018,West Indies,Maharashtra Cricket Association Stadium,c †S D Hope b A R Nurse,24,133.33
10/03/2019,Australia,Punjab Cricket Association IS Bindra Stadium,c A J Finch b P J Cummins,36,150.00
13/03/2019,Australia,Feroz Shah Kotla,c A J Turner b N M Lyon,16,100.00
