Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,S/R
22/01/2014,New Zealand,Seddon Park,M J Guptill (c Mohammed Shami),4.0,1/18,61.04
25/01/2014,New Zealand,Eden Park, ,4.0,0/26,59.85
15/06/2014,Bangladesh,Shere Bangla National Stadium,Shakib Al Hasan (c & b),5.0,1/24,58.30
27/08/2014,England,Sophia Gardens,C J Jordan (lbw),3.0,1/12,57.93
30/08/2014,England,Trent Bridge,A D Hales (c †M S Dhoni),8.0,1/37,57.38
02/09/2014,England,Edgbaston,J E Root (c D S Kulkarni),7.0,1/36,56.87
05/09/2014,England,Headingley,A N Cook (c †M S Dhoni),7.0,1/32,57.27
08/10/2014,West Indies,Nehru Stadium (Kochi), ,2.0,0/14,56.39
02/11/2014,Sri Lanka,Barabati Stadium,A D Mathews (c A R Patel),5.0,1/24,56.97
09/11/2014,Sri Lanka,Rajiv Gandhi International Stadium, ,3.0,0/15,57.16
13/11/2014,Sri Lanka,Eden Gardens, ,1.0,0/3,57.55
18/01/2015,Australia,Melbourne Cricket Ground, ,2.0,0/24,57.74
20/01/2015,England,Brisbane Cricket Ground, ,1.0,0/7,57.94
15/02/2015,Pakistan,Adelaide Oval, ,1.0,0/6,58.13
22/02/2015,South Africa,Melbourne Cricket Ground, ,1.0,0/3,58.19
10/03/2015,Ireland,Seddon Park,E C Joyce (b),10.0,1/40,58.75
19/03/2015,Bangladesh,Melbourne Cricket Ground, ,3.0,0/15,60.63
18/06/2015,Bangladesh,Shere Bangla National Stadium, ,10.0,0/40,61.00
21/06/2015,Bangladesh,Shere Bangla National Stadium, ,2.0,0/14,57.14
24/06/2015,Bangladesh,Shere Bangla National Stadium,Mushfiqur Rahim (c †M S Dhoni),8.0,3/45, 
 , , ,Shakib Al Hasan (c D S Kulkarni), , , 
 , , ,Rubel Hossain (c A R Patel), , ,58.34
11/10/2015,South Africa,Green Park, ,7.0,0/37,58.69
14/10/2015,South Africa,Holkar Cricket Stadium, ,2.0,0/18,59.03
18/10/2015,South Africa,Saurashtra Cricket Association Stadium, ,2.0,0/13,57.89
25/10/2015,South Africa,Wankhede Stadium,Q de Kock (c V Kohli),3.0,1/19,58.39
12/07/2018,England,Trent Bridge, ,3.0,0/8,58.72
14/07/2018,England,Lord's, ,2.0,0/18,59.06
