Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,S/R
06/01/2013,Pakistan,Feroz Shah Kotla,Umar Akmal (st †M S Dhoni),10.0,1/19, 
11/01/2013,England,Saurashtra Cricket Association Stadium, ,10.0,0/46,43.88
15/01/2013,England,Nehru Stadium (Kochi),C R Woakes (lbw),7.0,2/12, 
 , , ,J E Root (b), , , 
19/01/2013,England,JSCA International Stadium Complex,S R Patel (lbw),6.2,3/19,42.84
 , , ,C Kieswetter (b), , , 
 , , ,J W Dernbach (b), , , 
23/01/2013,England,Punjab Cricket Association IS Bindra Stadium,T T Bresnan (c Yuvraj Singh),10.0,3/39,42.86
 , , ,S R Patel (c & b), , ,42.42
 , , ,J C Buttler (c Yuvraj Singh), , , 
27/01/2013,England,Himachal Pradesh Cricket Association Stadium,J E Root (b),7.2,1/26,40.44
06/06/2013,South Africa,Sophia Gardens,J-P Duminy (lbw),9.0,2/31, 
 , , ,L L Tsotsobe (b), , , 
11/06/2013,West Indies,Kennington Oval,R R Sarwan (c †M S Dhoni),10.0,5/36, 
 , , ,M N Samuels (lbw), , , 
 , , ,R Rampaul (b), , ,40.03
 , , ,J Charles (lbw), , , 
 , , ,S P Narine (c K D Karthik), , ,40.28
15/06/2013,Pakistan,Edgbaston,Misbah-ul-Haq (b),8.0,2/30,39.59
 , , ,Shoaib Malik (lbw), , , 
20/06/2013,Sri Lanka,Sophia Gardens,D P M D Jayawardene (b),10.0,1/33,40.32
23/06/2013,England,Edgbaston,I R Bell (st †M S Dhoni),4.0,2/24,40.98
 , , ,J C Buttler (b), , ,40.50
30/06/2013,West Indies,Sabina Park, ,10.0,0/50, 
02/07/2013,Sri Lanka,Sabina Park, ,9.0,0/55,39.91
05/07/2013,West Indies,Queen's Park Oval,K A J Roach (b),7.0,2/44, 
 , , ,S P Narine (c I Sharma), , ,38.66
09/07/2013,Sri Lanka,Queen's Park Oval,A D Mathews (c †K D Karthik),5.0,2/17, 
 , , ,L D Chandimal (st †K D Karthik), , , 
11/07/2013,Sri Lanka,Queen's Park Oval,H M R K B Herath (st †M S Dhoni),7.5,4/23, 
 , , ,S L Malinga (c B Kumar), , ,39.32
 , , ,R A S Lakmal (st †M S Dhoni), , ,39.55
 , , ,L D Chandimal (c R Ashwin), , ,39.77
24/07/2013,Zimbabwe,Harare Sports Club, ,10.0,0/33,39.50
26/07/2013,Zimbabwe,Harare Sports Club,S C Williams (lbw),10.0,1/30, 
28/07/2013,Zimbabwe,Harare Sports Club,E Chigumbura (lbw),10.0,1/39,39.72
01/08/2013,Zimbabwe,Queens Sports Club,V Sibanda (b),9.0,2/28,39.93
 , , ,B R M Taylor (lbw), , ,40.55
03/08/2013,Zimbabwe,Queens Sports Club,H Masakadza (b),10.0,1/42,40.75
13/10/2013,Australia,Maharashtra Cricket Association Stadium,P J Hughes (c S K Raina),10.0,1/35,40.95
16/10/2013,Australia,Sawai Mansingh Stadium, ,10.0,0/72,40.73
19/10/2013,Australia,Punjab Cricket Association IS Bindra Stadium,S R Watson (lbw),10.0,1/31, 
23/10/2013,Australia,JSCA International Stadium Complex,B J Haddin (b),10.0,1/56,40.13
30/10/2013,Australia,Vidarbha Cricket Association Stadium,M G Johnson (c S Dhawan),10.0,2/68, 
 , , ,G J Bailey (c V Kohli), , , 
02/11/2013,Australia,M Chinnaswamy Stadium,S R Watson (c Mohammed Shami),10.0,3/73,39.56
 , , ,C J McKay (b), , , 
 , , ,N M Coulter-Nile (c V Kohli), , , 
21/11/2013,West Indies,Nehru Stadium (Kochi),D J J Bravo (st †M S Dhoni),10.0,3/37,39.75
 , , ,D J G Sammy (c B Kumar), , ,39.94
 , , ,J Charles (c & b), , ,40.38
24/11/2013,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,L M P Simmons (lbw),10.0,1/44,40.56
27/11/2013,West Indies,Green Park,L M P Simmons (c †M S Dhoni),10.0,1/49,40.89
05/12/2013,South Africa,New Wanderers Stadium, ,8.0,0/58,41.01
08/12/2013,South Africa,Kingsmead,A B de Villiers (st †M S Dhoni),10.0,1/49,41.07
11/12/2013,South Africa,SuperSport Park, ,6.0,0/32,40.88
19/01/2014,New Zealand,McLean Park,K S Williamson (c A M Rahane),9.0,1/61, 
22/01/2014,New Zealand,Seddon Park,K S Williamson (st †M S Dhoni),8.0,1/46,41.41
25/01/2014,New Zealand,Eden Park,L Ronchi (c A M Rahane),10.0,2/47,41.88
 , , ,M J Guptill (c A M Rahane), , ,42.42
28/01/2014,New Zealand,Seddon Park, ,10.0,0/33,41.84
31/01/2014,New Zealand,Westpac Stadium, ,9.0,0/54, 
26/02/2014,Bangladesh,Khan Shaheb Osman Ali Stadium, ,10.0,0/37, 
28/02/2014,Sri Lanka,Khan Shaheb Osman Ali Stadium,D P M D Jayawardene (c R G Sharma),10.0,3/30,42.35
 , , ,L D Chandimal (b), , ,41.44
 , , ,P C de Silva (lbw), , , 
01/03/2014,Pakistan,Shere Bangla National Stadium, ,10.0,0/61, 
05/03/2014,Afghanistan,Shere Bangla National Stadium,Noor Ali Zadran (c V Kohli),10.0,4/30, 
 , , ,Mohammad Nabi (c †K D Karthik), , ,40.44
 , , ,Asghar Afghan (c A Mishra), , , 
 , , ,Rahmat Shah (lbw), , , 
27/08/2014,England,Sophia Gardens,C R Woakes (st †M S Dhoni),7.0,4/28, 
