Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,S/R
31/08/2017,Sri Lanka,R Premadasa Stadium,N Dickwella (c †M S Dhoni),7.0,1/26,42.00
03/09/2017,Sri Lanka,R Premadasa Stadium, ,6.0,0/48,78.00
16/02/2018,South Africa,SuperSport Park,H M Amla (c †M S Dhoni),8.5,4/52,26.20
 , , ,F Behardien (c J J Bumrah), , , 
 , , ,A L Phehlukwayo (c & b), , , 
 , , ,A K Markram (c S S Iyer), , , 
17/07/2018,England,Headingley,J M Bairstow (c S K Raina),10.0,1/51,31.83
18/09/2018,Hong Kong,Dubai International Cricket Stadium, ,4.0,0/41,35.83
